品項	周慶		$11600 百貨$12000 G11(周慶)
品項	周慶		$11600 百貨$12000 G12(周慶)
品項	周慶		$15400 百貨$16000 G10(周慶)
品項	周慶		$15400 百貨$16000 G11(周慶)
品項	周慶		$15400 百貨$16000 G14(周慶)
品項	周慶		$15400 百貨$16000 G16(周慶)
品項	周慶		$21200 百貨$22000 G11(周慶)
品項	周慶		$21200 百貨$22000 G15(周慶)
品項	周慶		$21200 百貨$22000 G17(周慶)
品項	周慶		$21200 百貨$22000 G18(周慶)
品項	周慶		$21200 百貨$22000 G19(周慶)
品項	周慶		$21200 百貨$22000 G23(周慶)
品項	綜合鍋物組	x麻神xHel	點點心x麻神xHello Kitty-綜合鍋物組
品項	花生包	花生	黑金剛花生立體包300g
品項	小番茄	番茄	鮮採薄皮玉女小番茄
品項	蜂蜜胡麻醬	胡麻醬	香辣蜂蜜胡麻醬(180g/瓶，共2瓶)
品項		珍菇	飯友珍菇(170g/罐)
品項	養生蝦	蝦	食補養生蝦
品項	蔥花胡椒餅	蔥花胡	食之香-MINI蔥花胡椒餅
品項	鍋底醬	豆腐鍋底醬	韓式豆腐鍋底醬(270g±10%/罐，共2罐)
品項	免剝	甘栗	韓國100%零添加免剝甘栗(買1送1)
品項	醋飲		韓國HongCho石榴果醋飲
品項	醋飲		韓國HongCho藍莓果醋飲
品項	檸檬香茅蒟蒻冷麵	蒟蒻冷麵	面相館-檸檬香茅蒟蒻冷麵
品項	雞胗	雞胗串	雞胗串3串(2顆/串)
品項	孔鮑	九孔鮑	醉九孔鮑(320g±5%/包)
品項	香氛	綠麝香	20TBS週慶18-綠麝香沐浴香氛組$1600
品項	美肌組	美肌	21母親節通6-煥肌活顏美肌組$3480
品項	修護組	護組2	維他命E保水修護組2360
品項	香腸披薩	披薩	6吋德式香腸披薩
品項	耳機清潔組	耳機清	AK-Clean-耳機清潔組
品項	無線耳機		AK-Liberty 2 Pro-石英白-真無線耳機
品項	充電倉		AK-Liberty 3 Pro-午夜黑-充電倉
品項	保護套		AK-Liberty 3 Pro-白-保護套
品項	保護套		AK-Liberty 3 Pro-粉-保護套
品項	保護套		AK-Liberty 3 Pro-粉-原廠保護套
品項	保護套		AK-Liberty 3 Pro-藍-保護套
品項	保護套		AK-Liberty 3 Pro-藍-原廠保護套
品項	保護套		AK-Liberty 3 Pro-黑-保護套
品項	無線藍牙耳機		AK-Liberty 3 Pro-午夜黑-真無線藍牙耳機
品項	無線藍牙耳機		AK-Liberty 3 Pro-薄暮紫-真無線藍牙耳機
品項	無線藍牙耳機		AK-Liberty 3 Pro-迷霧灰-真無線藍牙耳機
品項	無線耳機		AK-Liberty Air 2 Pro-星燦藍-真無線耳機+Air 2 Pro保護套-白
品項	無線耳機		AK-Liberty Air 2 Pro-晨曦粉-真無線耳機+Air 2 Pro保護套-白
品項	無線耳機		AK-Liberty Air 2 Pro-晨曦粉-真無線耳機+Air 2 Pro保護套-粉
品項	無線耳機		AK-Liberty Air 2 Pro-晨曦粉-真無線耳機+Air 2 Pro保護套-黑
品項	無線耳機		AK-Liberty Air 2 Pro-石英白-真無線耳機+Air 2 Pro保護套-白
品項	無線耳機		AK-Liberty Air 2 Pro-石英白-真無線耳機+Air 2 Pro保護套-粉
品項	無線耳機		AK-Liberty Air 2 Pro-石英白-真無線耳機+Air 2 Pro保護套-藍
品項	無線耳機		AK-Liberty Air 2 Pro-雲母黑-真無線耳機+Air 2 Pro保護套-白
品項	無線藍牙耳機		Philips TAT6908  主動降噪真無線藍牙耳機丨清晰通話 暢談自由
品項	無線耳機		AK-Liberty Air 2 Pro-星燦藍-真無線耳機+Air 2 Pro保護套-黑
品項	充電倉	Liberty Air	AK-Liberty Air 2 Pro-晨曦粉-充電倉
品項	充電器	r	Anker-PowerPort 18W-白-PD充電器
品項	手機殼	O	UPRO Ostand Pro MagSafe支架防摔手機殼 iPhone 15系列
品項	無線耳機		AK-Liberty Air 2 Pro-石英白-真無線耳機+Air 2 Pro保護套-黑
品項	耳機	無線耳機	AK-Liberty Air 2-石英白-真無線耳機+Air 2保護套-藍
品項	無線藍牙耳機		AK-Life Note 3i-時空黑-真無線藍牙耳機
品項	集線器		AU-CB-C78-灰-集線器
品項	充電線		AU-CB-CD21-黑-充電線
品項	充電器	黑-充	AU-PA-Y30S-黑-充電器
品項	充電線		AU-CB-CD6-黑-充電線
品項	充電線		AU-CB-CL2-黑-充電線
品項	充電線	-充電	AU-PA-B6S-黑-充電器
品項	無線耳機	黑-真無	AU-EP-M1PRO-黑-真無線耳機
品項	無線耳機	真無線耳	AU-EP-T10-黑-真無線耳機
品項	充電器	P1	IDMIX 快充組 P18充電器 + L09Ci充電線｜WitsPer智選家
品項	充電器	白-充	AU-PA-Y30S-白-充電器
品項	視訊鏡頭	黑-視訊	AU-PC-LM1E-黑-視訊鏡頭
品項	無線耳機		AU-T18NC-灰-真無線耳機
品項	無線耳機		MP-MDots-黑-真無線耳機
品項	無線藍牙耳機	無線	PH-TAH6506-黑-真無線藍牙耳機
品項	無線藍牙耳機	無線	PH-TAH8856-寂靜白-真無線藍牙耳機
品項	無線藍牙耳機	無線	PH-TAT5506-暮色白-真無線藍牙耳機
品項	無線耳機		TT-BH052-黑-真無線耳機
品項	無線耳機		TT-BH077-黑-真無線耳機
品項	無線耳機		TT-BH079-黑-真無線耳機
品項	無線耳機		TT-BH080-白-真無線耳機
品項	無線耳機		TT-BH080-黑-真無線耳機
品項	無線耳機		TT-BH088-黑-真無線耳機
